ticket_id,support_agent,team_lead,department,resolution_time_hours,ticket_date,priority_level,customer_satisfaction,ticket_category
T1001,Sarah Chen,Amanda Rodriguez,Technical,3.5,2024-01-05,High,5,Bug
T1002,Sarah Chen,Amanda Rodriguez,Technical,2.2,2024-01-08,Medium,4,Question
T1003,Mike Johnson,Amanda Rodriguez,Technical,5.8,2024-01-12,Critical,3,Bug
T1004,Lisa Park,Amanda Rodriguez,Technical,1.5,2024-01-15,Low,5,Question
T1005,Kevin Zhang,Amanda Rodriguez,Technical,4.2,2024-01-18,Medium,4,Feature Request
T1006,Rachel Green,Amanda Rodriguez,Technical,6.3,2024-01-22,Critical,2,Bug
T1007,Sarah Chen,Amanda Rodriguez,Technical,2.8,2024-01-25,Medium,5,Question
T1008,Mike Johnson,Amanda Rodriguez,Technical,3.9,2024-01-28,High,4,Bug
T1009,Lisa Park,Amanda Rodriguez,Technical,1.2,2024-02-02,Low,5,Question
T1010,Kevin Zhang,Amanda Rodriguez,Technical,5.5,2024-02-05,Critical,3,Bug
T1011,Rachel Green,Amanda Rodriguez,Technical,2.9,2024-02-08,Medium,4,Question
T1012,Sarah Chen,Amanda Rodriguez,Technical,4.1,2024-02-12,High,5,Feature Request
T1013,Mike Johnson,Amanda Rodriguez,Technical,1.8,2024-02-15,Low,5,Question
T1014,Lisa Park,Amanda Rodriguez,Technical,6.7,2024-02-18,Critical,2,Bug
T1015,Kevin Zhang,Amanda Rodriguez,Technical,3.3,2024-02-22,Medium,4,Question
T1016,Rachel Green,Amanda Rodriguez,Technical,2.5,2024-02-25,Low,5,Question
T1017,Sarah Chen,Amanda Rodriguez,Technical,5.2,2024-02-28,High,4,Bug
T1018,Mike Johnson,Amanda Rodriguez,Technical,3.7,2024-03-03,Medium,5,Feature Request
T1019,Lisa Park,Amanda Rodriguez,Technical,4.4,2024-03-06,High,4,Bug
T1020,Kevin Zhang,Amanda Rodriguez,Technical,1.9,2024-03-09,Low,5,Question
T1021,Rachel Green,Amanda Rodriguez,Technical,7.1,2024-03-12,Critical,3,Bug
T1022,Sarah Chen,Amanda Rodriguez,Technical,2.6,2024-03-15,Medium,4,Question
T1023,Mike Johnson,Amanda Rodriguez,Technical,3.8,2024-03-18,High,5,Bug
T1024,Lisa Park,Amanda Rodriguez,Technical,1.4,2024-03-21,Low,5,Question
T1025,Kevin Zhang,Amanda Rodriguez,Technical,5.9,2024-03-24,Critical,2,Bug
T1026,Rachel Green,Amanda Rodriguez,Technical,3.1,2024-03-27,Medium,4,Question
T1027,Sarah Chen,Amanda Rodriguez,Technical,2.3,2024-03-30,Low,5,Question
T1028,Mike Johnson,Amanda Rodriguez,Technical,4.6,2024-01-07,High,4,Feature Request
T1029,Lisa Park,Amanda Rodriguez,Technical,1.7,2024-01-10,Medium,5,Question
T1030,Kevin Zhang,Amanda Rodriguez,Technical,6.2,2024-01-14,Critical,3,Bug
T1031,Rachel Green,Amanda Rodriguez,Technical,2.8,2024-01-17,Low,5,Question
T1032,Sarah Chen,Amanda Rodriguez,Technical,3.9,2024-01-20,High,4,Bug
T1033,Mike Johnson,Amanda Rodriguez,Technical,1.5,2024-01-24,Medium,5,Question
T1034,Lisa Park,Amanda Rodriguez,Technical,5.3,2024-01-27,Critical,2,Bug
T1035,Kevin Zhang,Amanda Rodriguez,Technical,2.4,2024-01-31,Low,5,Question
T1036,Rachel Green,Amanda Rodriguez,Technical,4.7,2024-02-04,High,4,Feature Request
T1037,Sarah Chen,Amanda Rodriguez,Technical,3.2,2024-02-07,Medium,5,Question
T1038,Mike Johnson,Amanda Rodriguez,Technical,1.9,2024-02-11,Low,5,Question
T1039,Lisa Park,Amanda Rodriguez,Technical,6.8,2024-02-14,Critical,3,Bug
T1040,Kevin Zhang,Amanda Rodriguez,Technical,2.7,2024-02-17,Medium,4,Question
T1041,Rachel Green,Amanda Rodriguez,Technical,3.5,2024-02-21,High,5,Bug
T1042,Sarah Chen,Amanda Rodriguez,Technical,1.3,2024-02-24,Low,5,Question
T1043,Mike Johnson,Amanda Rodriguez,Technical,5.6,2024-02-27,Critical,2,Bug
T1044,Lisa Park,Amanda Rodriguez,Technical,2.9,2024-03-02,Medium,4,Question
T1045,Kevin Zhang,Amanda Rodriguez,Technical,4.2,2024-03-05,High,5,Feature Request
T1046,Rachel Green,Amanda Rodriguez,Technical,1.6,2024-03-08,Low,5,Question
T1047,Sarah Chen,Amanda Rodriguez,Technical,3.8,2024-03-11,Medium,4,Bug
T1048,Mike Johnson,Amanda Rodriguez,Technical,6.4,2024-03-14,Critical,3,Bug
T1049,Lisa Park,Amanda Rodriguez,Technical,2.5,2024-03-17,Low,5,Question
T1050,Kevin Zhang,Amanda Rodriguez,Technical,3.9,2024-03-20,High,4,Bug
T1051,David Kumar,Brian Foster,Billing,4.2,2024-01-06,Medium,4,Complaint
T1052,Emily Watson,Brian Foster,Billing,6.5,2024-01-09,Critical,2,Complaint
T1053,Carlos Martinez,Brian Foster,Billing,3.1,2024-01-13,Medium,4,Question
T1054,Nina Patel,Brian Foster,Billing,2.8,2024-01-16,Low,5,Question
T1055,David Kumar,Brian Foster,Billing,5.3,2024-01-20,High,3,Complaint
T1056,Emily Watson,Brian Foster,Billing,3.7,2024-01-23,Medium,4,Question
T1057,Carlos Martinez,Brian Foster,Billing,1.9,2024-01-27,Low,5,Question
T1058,Nina Patel,Brian Foster,Billing,7.2,2024-01-30,Critical,2,Complaint
T1059,David Kumar,Brian Foster,Billing,4.5,2024-02-03,High,4,Complaint
T1060,Emily Watson,Brian Foster,Billing,2.6,2024-02-06,Medium,5,Question
T1061,Carlos Martinez,Brian Foster,Billing,3.8,2024-02-10,High,4,Complaint
T1062,Nina Patel,Brian Foster,Billing,1.7,2024-02-13,Low,5,Question
T1063,David Kumar,Brian Foster,Billing,6.1,2024-02-16,Critical,3,Complaint
T1064,Emily Watson,Brian Foster,Billing,3.4,2024-02-20,Medium,4,Question
T1065,Carlos Martinez,Brian Foster,Billing,2.2,2024-02-23,Low,5,Question
T1066,Nina Patel,Brian Foster,Billing,5.7,2024-02-26,High,3,Complaint
T1067,David Kumar,Brian Foster,Billing,3.9,2024-03-01,Medium,4,Question
T1068,Emily Watson,Brian Foster,Billing,1.5,2024-03-04,Low,5,Question
T1069,Carlos Martinez,Brian Foster,Billing,6.8,2024-03-07,Critical,2,Complaint
T1070,Nina Patel,Brian Foster,Billing,4.3,2024-03-10,High,4,Complaint
T1071,David Kumar,Brian Foster,Billing,2.9,2024-03-13,Medium,5,Question
T1072,Emily Watson,Brian Foster,Billing,3.6,2024-03-16,High,4,Complaint
T1073,Carlos Martinez,Brian Foster,Billing,1.8,2024-03-19,Low,5,Question
T1074,Nina Patel,Brian Foster,Billing,5.4,2024-03-22,Critical,3,Complaint
